Word, Consonants
a-bomb,NOT_IN_CMU_DICT
a-level,NOT_IN_CMU_DICT
aachen,
aardvark,
aaron,
abandon,
abandoned,
abba,
abbatial,NOT_IN_CMU_DICT
abbey,
abbreviate,RUN GET
abbreviated,RUN WATER
abbreviates,RUN
abbreviating,RUN WATER TALKING
abbreviation,RUN
abbreviations,RUN
abc,
abdominal,RAIL
abduct,GET
abdullah,LOOK
abel,RAIL
abercrombie,RUN
aberdeen,
abernathy,THINK
abide,
abidjan,
abigail,RAIL
ability,LOOK WATER
abkhaz,NOT_IN_CMU_DICT
ablation,LOOK
able,RAIL
ableism,NOT_IN_CMU_DICT
ablution,LOOK
abnormal,RAIL
abnormally,LOOK
abode,
abolish,LOOK
abolished,LOOK GET
abolishes,LOOK
abolishing,LOOK TALKING
abolition,LOOK
aboriginal,RAIL
abort,GET
abortion,
about,GET
above,
aboyne,NOT_IN_CMU_DICT
abraham,RUN HOUSE
abrasion,RUN
abroad,RUN
abs,
abscission,NOT_IN_CMU_DICT
absence,
absent,GET
absentia,
absolute,LOOK GET
absolutely,LOOK
absorb,
absorbent,GET
absorption,
absorptivity,NOT_IN_CMU_DICT
abstract,RUN GET
abstraction,RUN
absurd,
abu,
abuse,
abused,
abusive,
abuzz,
abysmal,RAIL
acacia,
academe,
academic,
academy,
acapulco,RAIL
acc,
accelerate,LOOK GET
accent,GET
accept,GET
acceptable,RAIL
acceptance,
access,
accessary,NOT_IN_CMU_DICT
accesses,NOT_IN_CMU_DICT
accessibility,LOOK WATER
accessible,RAIL
accessory,
acciaccatura,NOT_IN_CMU_DICT
accident,GET
accidental,RAIL
accidentally,LOOK
acclaim,LOOK
accolade,LOOK
accommodate,GET
accommodation,
accompanied,
accompanies,
accompany,
accompanying,TALKING
accomplish,LOOK
accomplished,LOOK GET
accomplishes,LOOK
accord,
accordance,
according,TALKING
accordingly,TALKING LOOK
accost,GET
account,GET
accountability,LOOK WATER
accountant,GET
accreditation,RUN WATER
accredited,RUN WATER
accumulate,LOOK GET
accumulated,LOOK WATER
accumulates,LOOK
accumulating,LOOK WATER TALKING
accumululated,NOT_IN_CMU_DICT
accuracy,
accurate,GET
accurately,LOOK
accurist,NOT_IN_CMU_DICT
accusation,
accuse,
accused,
accustom,
accustomed,
accustoming,NOT_IN_CMU_DICT
accustoms,NOT_IN_CMU_DICT
ace,
acer,
acheulian,NOT_IN_CMU_DICT
achievable,RAIL
achieve,
achieved,
achievement,GET
achieving,TALKING
achoo,
acid,
ackee,NOT_IN_CMU_DICT
acknowledge,LOOK
acknowledged,LOOK
acm,
acne,
acorn,
acoustic,
acoustician,NOT_IN_CMU_DICT
acquaintance,
acquire,
acquired,
acquisition,
acre,
acrobat,RUN GET
acronym,RUN
acronyms,RUN
across,RUN
acrylic,RUN LOOK
act,GET
action,
activate,GET
activated,WATER
activation,
actively,LOOK
activist,GET
activists,
activity,WATER
actor,
actress,RUN
actual,RAIL
actually,LOOK
acumen,
acupressure,NOT_IN_CMU_DICT
acupuncture,
acute,GET
ad,
adam,
adapt,GET
adaptation,
adapted,
adapter,
adapting,TALKING
adaptive,
adaptor,
adapts,
add,
addict,GET
addiction,
addictive,
addicts,
addition,
additional,RAIL
additionally,LOOK
address,RUN
addresses,RUN
adelaide,LOOK
adelphi,RAIL
adenosine,
adequate,GET
adequately,LOOK
adhere,HOUSE
adhered,HOUSE
adhering,HOUSE TALKING
adidas,
adipex,NOT_IN_CMU_DICT
adjacency,NOT_IN_CMU_DICT
adjacent,GET
adjective,
adjoining,TALKING
adjoins,
adjourn,
adjourned,
adjournment,GET
adjudged,
adjudication,
adjudications,NOT_IN_CMU_DICT
adjunct,GET
adjunction,NOT_IN_CMU_DICT
adjunctive,NOT_IN_CMU_DICT
adjust,GET
adjustable,RAIL
adjuster,
admin,
administer,
administered,
administering,TALKING
administers,
administrate,RUN GET
administration,RUN
administrative,RUN WATER
administrator,RUN WATER
admirable,RAIL RUN
admiration,
admire,
admission,
admit,GET
admits,
admitted,WATER
admittedly,WATER LOOK
adobe,
adolescent,LOOK GET
adopt,GET
adoption,
adorable,RAIL
adore,
adorn,
adrian,RUN
advance,
advanced,GET
advantage,
advantageous,
advent,GET
adventure,
adventurous,
adverse,
adversely,LOOK
advert,GET
advertise,WATER
advertised,WATER
advertisement,WATER GET
advertiser,WATER
advertising,WATER TALKING
advice,
advisable,RAIL
advise,
advised,
adviser,
advisers,
advisor,
advisory,
advocacy,
advocate,GET
advocated,WATER
adware,NOT_IN_CMU_DICT
aegean,
aegis,
aegisthus,NOT_IN_CMU_DICT
aemilius,NOT_IN_CMU_DICT
aerial,RAIL
aerofoil,NOT_IN_CMU_DICT
aeroplane,NOT_IN_CMU_DICT
aerospace,
aertex,NOT_IN_CMU_DICT
aesthetic,THINK WATER
aesthetically,THINK WATER LOOK
aether,NOT_IN_CMU_DICT
affair,
affairs,
affect,GET
affected,
affection,
affectionate,GET
affective,
affiliate,LOOK GET
affiliated,LOOK WATER
affiliation,LOOK
affinity,WATER
affleck,LOOK
affluenza,NOT_IN_CMU_DICT
afford,
affordable,RAIL
affranchises,NOT_IN_CMU_DICT
affricative,NOT_IN_CMU_DICT
afghan,
afghanistan,
afield,RAIL
afire,
afocal,NOT_IN_CMU_DICT
afoot,GET
aforementioned,
afraid,RUN
afresh,RUN
africa,RUN
african,RUN
afrikaans,RUN
afro-wig,NOT_IN_CMU_DICT
after,
afterlife,LOOK
aftermath,THINK
afternoon,
aftershave,
afterthought,THINK GET
afterward,
afterwards,
again,
against,GET
agatha,THINK
agave,NOT_IN_CMU_DICT
age,
aged,
ageing,NOT_IN_CMU_DICT
agency,
agenda,
agent,GET
agential,NOT_IN_CMU_DICT
ageusia,NOT_IN_CMU_DICT
agfa,
aggiornamento,NOT_IN_CMU_DICT
aggregate,RUN GET
aggressive,RUN
aggressively,RUN LOOK
aggressor,RUN
aggrieved,RUN
agile,RAIL
agility,LOOK WATER
agincourt,GET
ago,
agony,
agra,RUN
agranulocytosis,NOT_IN_CMU_DICT
agrapha,NOT_IN_CMU_DICT
agrarianism,RUN
agree,RUN
agreeable,RUN RAIL
agreed,RUN
agreeing,RUN TALKING
agreement,RUN GET
agricola,RUN LOOK
agricultural,RUN RAIL
agriculture,RUN RAIL
agrippa,RUN
agronomist,RUN GET
agronomy,RUN
aground,RUN
aguecheek,NOT_IN_CMU_DICT
ah,
aha,HOUSE
ahead,HOUSE
ahmed,
ahoy,HOUSE
aid,
aide,
aiden,
aids,
aiken,
aikido,NOT_IN_CMU_DICT
aileen,LOOK
ailing,LOOK TALKING
aim,
aimee,
air,
air-bladder,NOT_IN_CMU_DICT
air-cooled,NOT_IN_CMU_DICT
air-minded,NOT_IN_CMU_DICT
air-pump,NOT_IN_CMU_DICT
air-raid,NOT_IN_CMU_DICT
air-shaft,NOT_IN_CMU_DICT
air-to-air,NOT_IN_CMU_DICT
airbag,
airbed,NOT_IN_CMU_DICT
airbnb,NOT_IN_CMU_DICT
airborne,
airbrush,NOT_IN_CMU_DICT
airbus,
aircraft,RUN GET
aircrew,RUN
airdrie,NOT_IN_CMU_DICT
airdrop,RUN
airedale,RAIL
airfare,
airfares,
airfield,RAIL
airflow,LOOK
airframe,RUN
airing,TALKING
airlifted,LOOK
airline,LOOK
airliner,LOOK
airmail,RAIL
airman,
airplane,LOOK
airpocalypse,NOT_IN_CMU_DICT
airport,GET
airscrew,NOT_IN_CMU_DICT
airship,
airshow,NOT_IN_CMU_DICT
airsickness,NOT_IN_CMU_DICT
airspace,
airspeed,
airstream,NOT_IN_CMU_DICT
airstrip,RUN
airway,
airy,
aisha,
aiwa,
ajaccio,NOT_IN_CMU_DICT
ajar,
ajax,
aka,
akela,NOT_IN_CMU_DICT
akin,
al,RAIL
alabama,LOOK
alack,NOT_IN_CMU_DICT
alamein,LOOK
alan,LOOK
alarm,LOOK
alas,LOOK
alaska,LOOK
alba,RAIL
albania,RAIL
albany,RAIL
albeit,RAIL GET
albert,RAIL GET
alberta,RAIL WATER
album,RAIL
albumin,RAIL
albuquerque,RAIL
alcatraz,RAIL RUN
alcohol,RAIL HOUSE
