Word,Sets,Source,Checks,Score,Synonyms,Generated,Added
abbreviate,FLEECE FACE,SCOWL,1,0,False,False,2025-09-08
abbreviated,FLEECE FACE,SCOWL,1,0,False,False,2025-09-08
abbreviates,FLEECE FACE,SCOWL,1,0,False,False,2025-09-08
abbreviating,FLEECE FACE KIT,SCOWL,1,0,False,False,2025-09-08
abbreviation,FLEECE FACE,SCOWL,1,0,False,False,2025-09-08
abbreviations,FLEECE FACE,SCOWL,1,0,False,False,2025-09-08
abide,PRICE,SCOWL,1,0,False,False,2025-09-08
abnormally,TRAP NORTH HAPPY,SCOWL,1,0,False,False,2025-09-08
abolish,LOT KIT,SCOWL,1,0,False,False,2025-09-08
abolished,LOT KIT,SCOWL,1,0,False,False,2025-09-08
abolishes,LOT KIT,SCOWL,1,0,False,False,2025-09-08
abolishing,LOT KIT,SCOWL,1,0,False,False,2025-09-08
abolition,TRAP KIT,SCOWL,1,0,False,False,2025-09-08
abstraction,TRAP,SCOWL,1,0,False,False,2025-09-08
absurd,NURSE,SCOWL,1,0,False,False,2025-09-08
abused,GOOSE,SCOWL,1,0,False,False,2025-09-08
abysmal,KIT,SCOWL,1,0,False,False,2025-09-08
accelerate,DRESS FACE,SCOWL,1,0,False,False,2025-09-08
accesses,TRAP DRESS,SCOWL,1,0,False,False,2025-09-08
accidental,TRAP KIT DRESS,SCOWL,1,0,False,False,2025-09-08
accidentally,TRAP KIT DRESS HAPPY,SCOWL,1,0,False,False,2025-09-08
accompanies,HAPPY,SCOWL,1,0,False,False,2025-09-08
accomplishes,KIT,SCOWL,1,0,False,False,2025-09-08
accumulate,GOOSE FACE,SCOWL,1,0,False,False,2025-09-08
accumulated,GOOSE FACE,SCOWL,1,0,False,False,2025-09-08
accumulates,GOOSE FACE,SCOWL,1,0,False,False,2025-09-08
accumulating,GOOSE FACE KIT,SCOWL,1,0,False,False,2025-09-08
accustom,STRUT,SCOWL,1,0,False,False,2025-09-08
accustomed,STRUT,SCOWL,1,0,False,False,2025-09-08
accustoming,STRUT KIT,SCOWL,1,0,False,False,2025-09-08
accustoms,STRUT,SCOWL,1,0,False,False,2025-09-08
acquaintance,FACE,SCOWL,1,0,False,False,2025-09-08
acronym,TRAP KIT,SCOWL,1,0,False,False,2025-09-08
acronyms,TRAP KIT,SCOWL,1,0,False,False,2025-09-08
adapting,TRAP KIT,SCOWL,1,0,False,False,2025-09-08
adapts,TRAP,SCOWL,1,0,False,False,2025-09-08
addictive,KIT,SCOWL,1,0,False,False,2025-09-08
